card_id,amount,hour,txn_type,merchant_category,txns_last_24h,avg_amount_7d,is_fraud
6812321550342329,1561.06,0,online,grocery,6,715.51,0
6812321550342329,946.27,21,atm,travel,5,715.51,0
6812321550342329,1296.3,7,atm,travel,3,715.51,0
6812321550342329,303.83,10,online,fuel,5,715.51,1
6812321550342329,229.18,2,atm,travel,2,715.51,0
6812321550342329,491.87,11,atm,electronics,6,715.51,0
6812321550342329,325.33,18,online,electronics,6,715.51,0
6812321550342329,447.39,0,atm,grocery,2,715.51,0
6812321550342329,717.81,2,pos,grocery,3,715.51,0
6812321550342329,979.6,20,atm,electronics,3,715.51,0
6812321550342329,593.11,14,online,electronics,4,715.51,0
6812321550342329,704.16,21,atm,grocery,3,715.51,0
6812321550342329,412.54,20,atm,grocery,3,715.51,0
6812321550342329,808.39,21,atm,electronics,5,715.51,0
6812321550342329,1054.38,16,pos,electronics,3,715.51,0
6812321550342329,304.39,18,online,fuel,1,715.51,0
6812321550342329,695.28,10,pos,fuel,3,715.51,0
6812321550342329,805.69,10,pos,grocery,4,715.51,0
6812321550342329,1320.6,16,pos,travel,5,715.51,0
6812321550342329,800.28,15,pos,fuel,2,715.51,0
7917272270584261,534.54,3,pos,fuel,4,467.66,0
7917272270584261,759.63,5,online,electronics,3,467.66,0
7917272270584261,189.2,12,pos,electronics,6,467.66,0
7917272270584261,282.43,16,atm,fuel,4,467.66,0
7917272270584261,237.39,13,online,electronics,3,467.66,0
7917272270584261,604.66,23,pos,electronics,5,467.66,0
7917272270584261,213.78,19,pos,fuel,2,467.66,0
7917272270584261,573.5,1,pos,travel,2,467.66,0
7917272270584261,377.05,2,pos,electronics,6,467.66,0
7917272270584261,954.33,21,pos,fuel,5,467.66,0
7917272270584261,65.05,5,pos,travel,3,467.66,0
7917272270584261,240.35,4,online,grocery,2,467.66,0
7917272270584261,688.27,11,pos,fuel,2,467.66,0
7917272270584261,515.31,17,online,travel,6,467.66,0
7917272270584261,276.94,1,pos,grocery,1,467.66,0
7917272270584261,349.89,2,atm,grocery,2,467.66,0
7917272270584261,279.45,12,atm,fuel,6,467.66,0
7917272270584261,374.92,19,atm,grocery,4,467.66,0
7917272270584261,330.81,2,online,grocery,2,467.66,0
7917272270584261,261.47,22,pos,travel,6,467.66,0
6473617404838756,1130.37,0,online,grocery,6,880.7,0
6473617404838756,1405.76,4,pos,fuel,3,880.7,0
6473617404838756,251.23,9,online,grocery,1,880.7,0
6473617404838756,331.4,6,atm,fuel,3,880.7,0
6473617404838756,748.32,3,atm,travel,5,880.7,0
6473617404838756,756.58,0,online,electronics,6,880.7,0
6473617404838756,800.89,8,pos,travel,5,880.7,0
6473617404838756,997.29,3,atm,travel,6,880.7,0
6473617404838756,1431.13,21,atm,travel,2,880.7,0
6473617404838756,622.67,17,pos,fuel,5,880.7,0
6473617404838756,1204.31,11,pos,grocery,1,880.7,0
6473617404838756,702.56,19,online,travel,6,880.7,0
6473617404838756,1168.7,2,pos,grocery,6,880.7,0
6473617404838756,641.7,6,online,fuel,2,880.7,0
6473617404838756,957.65,3,pos,fuel,2,880.7,0
6473617404838756,1263.13,19,pos,grocery,1,880.7,0
6473617404838756,469.12,18,pos,electronics,6,880.7,0
6473617404838756,1101.74,3,online,travel,4,880.7,0
6473617404838756,700.62,9,pos,grocery,4,880.7,0
6473617404838756,591.55,2,online,fuel,5,880.7,1
4123496799040790,861.87,5,pos,electronics,4,1432.48,0
4123496799040790,971.07,11,pos,travel,4,1432.48,0
4123496799040790,434.93,1,pos,travel,2,1432.48,0
4123496799040790,2238.18,18,pos,travel,5,1432.48,0
4123496799040790,1618.28,11,atm,fuel,1,1432.48,0
4123496799040790,1012.98,6,pos,fuel,3,1432.48,0
4123496799040790,1627.8,22,pos,grocery,2,1432.48,0
